chr9	24439600	24439800	Fetal_Muscle_1
chr8	120364200	120364400	Fetal_Muscle_2
chr8	121312200	121312400	Fetal_Muscle_3
chr18	43837400	43837600	Fetal_Muscle_4
chr17	11205600	11205800	Fetal_Muscle_5
chr6	150815400	150815600	Fetal_Muscle_6
chr4	164118400	164118600	Fetal_Muscle_7
chr5	155777400	155777600	Fetal_Muscle_8
chr4	95281000	95281200	Fetal_Muscle_9
chr8	122088200	122088400	Fetal_Muscle_10
chr8	122219800	122220000	Fetal_Muscle_11
chr2	175493600	175493800	Fetal_Muscle_12
chrX	119861400	119861600	Fetal_Muscle_13
chr3	153637600	153637800	Fetal_Muscle_14
chrX	69064600	69064800	Fetal_Muscle_15
chr5	33268000	33268200	Fetal_Muscle_16
chr8	92865800	92866000	Fetal_Muscle_17
chr9	102893600	102893800	Fetal_Muscle_18
chrX	110551400	110551600	Fetal_Muscle_19
chr8	75374000	75374200	Fetal_Muscle_20
chr4	146336000	146336200	Fetal_Muscle_21
chr2	229990800	229991000	Fetal_Muscle_22
chr5	8561600	8561800	Fetal_Muscle_23
chr8	78378400	78378600	Fetal_Muscle_24
chr6	159915400	159915600	Fetal_Muscle_25
chr2	221213200	221213400	Fetal_Muscle_26
chr6	81631600	81631800	Fetal_Muscle_27
chr6	159915200	159915400	Fetal_Muscle_28
chr5	103245200	103245400	Fetal_Muscle_29
chr13	33583000	33583200	Fetal_Muscle_30
chr3	130288800	130289000	Fetal_Muscle_31
chr10	60645800	60646000	Fetal_Muscle_32
chr8	122088400	122088600	Fetal_Muscle_33
chr3	130340800	130341000	Fetal_Muscle_34
chr7	37964400	37964600	Fetal_Muscle_35
chr18	2424000	2424200	Fetal_Muscle_36
chrX	78700400	78700600	Fetal_Muscle_37
chr8	36294400	36294600	Fetal_Muscle_38
chr10	60645600	60645800	Fetal_Muscle_39
chr2	235310200	235310400	Fetal_Muscle_40
chr9	113920600	113920800	Fetal_Muscle_41
chr1	155747600	155747800	Fetal_Muscle_42
chr1	119445600	119445800	Fetal_Muscle_43
chr8	14563800	14564000	Fetal_Muscle_44
chr8	78314400	78314600	Fetal_Muscle_45
chr8	122219600	122219800	Fetal_Muscle_46
chr3	26709800	26710000	Fetal_Muscle_47
chr6	92584800	92585000	Fetal_Muscle_48
chr12	71728800	71729000	Fetal_Muscle_49
chr8	121311800	121312000	Fetal_Muscle_50
chr21	33513400	33513600	Fetal_Muscle_51
chr8	121312000	121312200	Fetal_Muscle_52
chrY	563000	563200	Fetal_Muscle_53
chrX	613000	613200	Fetal_Muscle_54
chr8	121120200	121120400	Fetal_Muscle_55
chr7	33396000	33396200	Fetal_Muscle_56
chr1	219677200	219677400	Fetal_Muscle_57
chr4	146336200	146336400	Fetal_Muscle_58
chr7	33396200	33396400	Fetal_Muscle_59
chr21	17395200	17395400	Fetal_Muscle_60
chr6	159914600	159914800	Fetal_Muscle_61
chr3	151697800	151698000	Fetal_Muscle_62
chr21	33513200	33513400	Fetal_Muscle_63
chr18	2060200	2060400	Fetal_Muscle_64
chr2	189627000	189627200	Fetal_Muscle_65
chr4	146335400	146335600	Fetal_Muscle_66
chr13	44914800	44915000	Fetal_Muscle_67
chr15	39583000	39583200	Fetal_Muscle_68
chr10	36483200	36483400	Fetal_Muscle_69
chr5	166428400	166428600	Fetal_Muscle_70
chr2	152839800	152840000	Fetal_Muscle_71
